股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
300493,润欣科技,2015-12-31,289,新进,1955569,80843222.4599997,1955569,1.62964089000001
601166,兴业银行,2015-12-31,286,减持,1010215589,17244380104.23,-28459760,-2.74000533731739
300496,中科创达,2015-12-31,286,新进,1732995,242636629.949999,1732995,1.73299499999999
601318,中国平安,2015-12-31,283,减持,527586851,18993126636,-79819849,-13.1410880057793
600271,航天信息,2015-12-31,273,增持,124790304,8814631179.91,30143228,31.8480287758705
600048,保利地产,2015-12-31,263,增持,557524487,5932060541.68,428588298,332.403417011185
000651,格力电器,2015-12-31,262,增持,326040159,7286997553.65,188431753,136.933315687125
300494,盛天网络,2015-12-31,262,新进,1563184,40736575.04,1563184,1.29744503
002780,三夫户外,2015-12-31,262,新进,915406,57066410.0399998,915406,1.36627810999999
300017,网宿科技,2015-12-31,251,减持,104519553,6270127984.47,-9450232,-8.29187490351061
000001,平安银行,2015-12-31,250,增持,471885828,5657911077.72,237879360,101.655036304381
000858,五粮液,2015-12-31,247,增持,196988271,5373840032.88,78954750,66.8918027108587
002777,久远银海,2015-12-31,244,新进,1025544,16921476,1025544,1.2766
601336,新华保险,2015-12-31,244,增持,86302045,4505829769.45,68018085,372.009592013984
000333,美的集团,2015-12-31,236,增持,163416298,5363322900.36,94515862,137.177451242834
000625,长安汽车,2015-12-31,236,增持,251118093,4261474038.21,152524316,154.69973931519
000002,万科A,2015-12-31,234,减持,314923564,7677993261.96,-172725025,-35.4199784222076
002292,奥飞娱乐,2015-12-31,233,增持,160439580,8296330681.80001,78659203,96.1834683153882
002778,高科石化,2015-12-31,230,新进,1237035,10514797.5,1237035,0.06916768
300059,东方财富,2015-12-31,229,增持,116852888,6079855762.64,19610661,20.1668160067951
300492,华图山鼎,2015-12-31,228,新进,1371168,24118845.1200001,1371168,1.64803853
600276,恒瑞医药,2015-12-31,226,增持,119769670,5883086190.4,9510077,8.62516969385149
603299,苏盐井神,2015-12-31,226,新进,4928339,26169480.0900001,4928339,0.880941380000003
601688,华泰证券,2015-12-31,225,增持,316561503,6242592839.16,240629536,316.901491568103
002785,万里石,2015-12-31,221,新进,2376000,13875840,2376000,1.188
002236,大华股份,2015-12-31,216,减持,110029220,4060078218,-8431381,-7.11745587041214
300491,通合科技,2015-12-31,214,新进,1248708,18843003.72,1248708,1.55336625
603996,*ST中新,2015-12-31,212,新进,3235686,95582164.4399996,3235686,1.61703451
300490,华自科技,2015-12-31,212,新进,1451401,18998839.09,1451401,1.44427400000001
601888,中国中免,2015-12-31,211,增持,76647879,4545985703.49,46233676,152.013439247446
601169,北京银行,2015-12-31,211,增持,689094363,7256163642.39,314984294,84.1956205140258
002787,华源控股,2015-12-31,211,新进,1958976,32068437.12,1958976,1.39131905
002230,科大讯飞,2015-12-31,210,增持,115543656,4251636259.32,66120276,133.783395631784
300113,顺网科技,2015-12-31,209,增持,65906255,6680917069.35,37330533,130.63723464275
