股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
600519,贵州茅台,2016-09-30,229,减持,37400158,11141881069.78,-6543581,-14.8908152763241
601318,中国平安,2016-09-30,225,减持,375839119,12838664305.04,-34356157,-8.37556135093082
000651,格力电器,2016-09-30,217,增持,357921771,7953021751.62,23061329,6.88684780509249
601166,兴业银行,2016-09-30,196,增持,710022020,11339051659.4,35929840,5.33010781997204
000858,五粮液,2016-09-30,162,减持,148567049,4956196754.64,-134787391,-47.5684767812355
600016,民生银行,2016-09-30,160,增持,968821806,8971289923.56,85413401,9.66861991764726
600036,招商银行,2016-09-30,157,减持,475019274,8550346932,-31465596,-6.21254411805036
000333,美的集团,2016-09-30,156,减持,257553247,6956513201.47,-56848565,-18.0815004335917
300017,网宿科技,2016-09-30,153,减持,88557231,6166864686.64,-54830641,-38.2393854063194
000001,平安银行,2016-09-30,146,减持,345484277,3133542392.39,-143638269,-29.3665197351177
600000,浦发银行,2016-09-30,138,增持,455870460,7517303885.4,29909581,7.02167322741392
601328,交通银行,2016-09-30,124,减持,1169936801,6469750509.53,-71204009,-5.73698072179256
601398,工商银行,2016-09-30,114,减持,560797442,2484332668.06,-453647845,-44.7188084772481
002456,欧菲光,2016-09-30,113,减持,115097813,4184956480.68,-24971405,-17.8279034869746
002236,大华股份,2016-09-30,111,减持,247425029,3837562199.79,-21114791,-7.86281565244216
600030,中信证券,2016-09-30,110,减持,490188900,7901845068,-18593465,-3.65450264770871
002142,宁波银行,2016-09-30,108,减持,96986464,1517838161.6,-35775177,-26.9469228690838
000002,万科A,2016-09-30,104,减持,144789736,3789147391.12,-167769539,-53.6760712028142
600887,伊利股份,2016-09-30,104,减持,398929674,6426757048.14,-271051994,-40.4566284341977
002450,*ST康得,2016-09-30,99,减持,233681678,4224964738.24,-118526364,-33.6523729915287
601288,农业银行,2016-09-30,99,减持,1784322867,5584930573.71,-444154962,-19.9308674387534
600900,长江电力,2016-09-30,98,减持,149458003,1987791439.9,-195741616,-56.7038910897523
600028,中国石化,2016-09-30,98,减持,525847186,2555617323.96,-234967446,-30.8836654971168
000423,东阿阿胶,2016-09-30,97,减持,47205768,2808743196,-17145275,-26.6433521520389
002415,海康威视,2016-09-30,91,减持,111595367,2730738630.49,-52764871,-32.1031848347652
600547,山东黄金,2016-09-30,91,减持,121302442,4632540259.98,-62169694,-33.8850875971706
601169,北京银行,2016-09-30,90,减持,266433169,2424541837.9,-134839109,-33.60289668453
600908,无锡银行,2016-09-30,89,新进,686321,7117148.77000001,686321,0.0371363
600276,恒瑞医药,2016-09-30,89,减持,80070894,3527122880.7,-50455751,-38.6555181894088
600079,人福医药,2016-09-30,89,减持,109448627,2253547229.93,-41794474,-27.6339705571099
600837,海通证券,2016-09-30,88,增持,476084109,7574498174.19,31989787,7.20337671869626
600104,上汽集团,2016-09-30,85,增持,189652674,4143910926.9,7695621,4.22936119986511
601668,中国建筑,2016-09-30,84,减持,588359973,3630181033.41,-288732907,-32.9193080440922
300207,欣旺达,2016-09-30,83,增持,200987230,3105252703.5,90425637,81.7875670441905
300136,信维通信,2016-09-30,82,减持,194237906,4958893740.18,-48792668,-20.0767612061847
000725,京东方A,2016-09-30,80,减持,441979076,1047490410.12,-29939250,-6.34415922216168
000895,双汇发展,2016-09-30,78,减持,67139803,1583827952.77,-44435930,-39.8258015477254
002572,索菲亚,2016-09-30,77,减持,82293691,5063753034.14,-25557846,-23.6972478194724
000568,泸州老窖,2016-09-30,77,减持,108458878,3370901928.24,-67074739,-38.2119050164619
002508,老板电器,2016-09-30,77,减持,73541896,3035074047.92,-34632647,-32.0155242070216
601988,中国银行,2016-09-30,74,减持,360251969,1214049135.53,-522482837,-59.1891056576283
600584,长电科技,2016-09-30,74,增持,131831016,2558840020.56,1504129,1.15412025455653
000538,云南白药,2016-09-30,73,减持,25563047,1774050989.9,-20004734,-43.9010492962122
600048,保利地产,2016-09-30,73,减持,187259575,1797691920,-300980222,-61.6459829471869
002475,立讯精密,2016-09-30,71,减持,154463871,3123259471.62,-83491520,-35.0870470507642
002310,东方园林,2016-09-30,69,增持,161885386,2528649729.32,132184998,445.061519061637
600066,宇通客车,2016-09-30,69,减持,98059784,2163198835.04,-29384096,-23.0564982798703
002007,华兰生物,2016-09-30,68,减持,60640284,2278861872.72,-57018494,-48.4608925651089
000776,广发证券,2016-09-30,68,减持,163164401,2671001244.37,-19582694,-10.7157347699563
300070,碧水源,2016-09-30,67,减持,145415721,2691609401.71,-63297206,-30.3274008514096
300144,宋城演艺,2016-09-30,67,减持,85932519,2105346715.5,-99234895,-53.5919862228027
601009,南京银行,2016-09-30,66,减持,112745397,1156767773.22,-119837658,-51.5246727668961
300104,乐视退,2016-09-30,65,减持,84868051,3755411256.75,-7250127,-7.87046287433084
002241,歌尔股份,2016-09-30,64,减持,49530632,1497311005.36,-36007876,-42.0955156243782
002299,圣农发展,2016-09-30,64,减持,107132043,2681515036.29,-71837754,-40.1395962917698
600867,通化东宝,2016-09-30,63,减持,195545416,4442791851.52,-52384570,-21.1287754438868
300072,三聚环保,2016-09-30,62,减持,27400397,1194657309.2,-41791356,-60.3993311168168
300408,三环集团,2016-09-30,60,减持,85819489,1590235131.17,-35571010,-29.3029605224705
601939,建设银行,2016-09-30,60,减持,104164291,539571027.38,-382640369,-78.6024457941713
603816,顾家家居,2016-09-30,59,新进,229162,5651134.92,229162,0.05555449
000963,华东医药,2016-09-30,58,减持,31340327,2153080464.9,-26721828,-46.0227974659225
000028,国药一致,2016-09-30,57,减持,28153636,2020023383,-20623640,-42.2812458817913
000625,长安汽车,2016-09-30,57,减持,104528764,1658871484.68,-133263387,-56.0419620410431
600068,葛洲坝,2016-09-30,57,减持,156616768,1238838634.88,-36659006,-18.9672017559738
002271,东方雨虹,2016-09-30,57,增持,99720245,2559818689.15,25551548,34.4505822988909
600498,烽火通信,2016-09-30,56,减持,56092137,1599747747.24,-46703031,-45.433099540243
601688,华泰证券,2016-09-30,54,减持,160292148,2877244056.6,-146652687,-47.7781901754431
300115,长盈精密,2016-09-30,52,减持,54226582,1506956713.78,-35122527,-39.3093198053044
002400,省广集团,2016-09-30,52,减持,98269856,1376711019.82,-53455871,-35.2319096154339
601857,中国石油,2016-09-30,50,减持,108671562,784608677.64,-52505564,-32.5763123484408
600487,亨通光电,2016-09-30,49,增持,63027582,1242903917.04,4522455,7.7300148412634
600056,中国医药,2016-09-30,49,增持,98541648,1916635053.6,28735873,41.1654666107496
600521,华海药业,2016-09-30,49,减持,89215008,2312453007.36,-88618494,-49.8322830081814
300541,先进数通,2016-09-30,49,新进,64053,2912489.91,64053,0.05337755
600489,中金黄金,2016-09-30,48,减持,199776046,2423283437.98,-22490035,-10.1185187136133
300012,华测检测,2016-09-30,48,减持,152406195,2057483632.5,-68669776,-31.0616190847806
300203,聚光科技,2016-09-30,48,减持,36265390,1192768677.1,-24739312,-40.5531232658099
002311,海大集团,2016-09-30,47,减持,80165505,1328342417.85,-56981644,-41.5478151864462
001979,招商蛇口,2016-09-30,47,减持,90770798,1450517352.04,-73447241,-44.7254403031813
600418,江淮汽车,2016-09-30,47,增持,107966805,1498579253.4,3847555,3.69533491645397
300145,中金环境,2016-09-30,47,减持,77026163,2043504104.39,-28340814,-26.8972450448113
601006,大秦铁路,2016-09-30,47,减持,228669136,1449762322.24,-185077520,-44.7320884207944
603986,兆易创新,2016-09-30,47,新进,1182732,210490938.67,1182732,1.182732
002466,天齐锂业,2016-09-30,46,减持,17200244,654469284.2,-12641099,-42.361025775549
300059,东方财富,2016-09-30,46,减持,77178061,1477959868.15,-104979464,-57.6311431548052
000983,山西焦煤,2016-09-30,46,减持,149570724,1432887535.92,-170106605,-53.21197018635
002035,华帝股份,2016-09-30,46,减持,70633802,1931834484.7,-18005936,-20.3136159991809
600110,诺德股份,2016-09-30,46,减持,104631149,1054681981.92,-26440159,-20.1723469487311
