股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%,过去一季收益率,相对沪深300指数的收益率1,未来一个月,相对沪深300指数的收益率2,两到三月,相对沪深300指数的收益率3
601318,中国平安,2019-03-31,847,减持,787835993,60742155060.3,-15647161,-1.94741618689867,0.3758212877792379,0.09234427199902734,0.10384356035064043,0.10075730673954429,0.08563079659509605,0.0722509476912317
600519,贵州茅台,2019-03-31,727,减持,47657154,40698732944.46,-1329533,-2.71407004927686,0.4000235634698892,0.11654654768967865,0.1325581672973845,0.12947191368628835,0.07894882802533634,0.065568979121472
858,五粮液,2019-03-31,495,增持,253815308,24112454260.0,45545245,21.868358968134604,0.8411270983213429,0.5576500825411324,0.07749918593292088,0.07441293232182473,0.22029988465974615,0.2069200357558818
600036,招商银行,2019-03-31,468,减持,788770905,26755109097.6,-90252290,-10.267338849915099,0.34848484848484834,0.06500783270463778,0.007430340557275604,0.004344086946179455,0.08354591836734686,0.07016606946348251
651,格力电器,2019-03-31,458,减持,363658173,17168302347.33,-65019914,-15.1675385264094,0.31288888888888894,0.029411873108678377,0.17716091175806803,0.17407465814697187,0.03033932135728535,0.016959472453421002
600030,中信证券,2019-03-31,431,减持,591363631,14653990776.18,-230028568,-28.004717877774702,0.5476804123711341,0.2642033965909235,-0.06997084548104969,-0.07305709909214583,0.10219675262655191,0.08881690372268757
600887,伊利股份,2019-03-31,425,减持,756224353,22013690915.83,-102521623,-11.938527325337901,0.26578225068618494,-0.017694765094025622,0.07708779443254819,0.07400154082145205,0.09568733153638825,0.08230748263252391
2,万科A,2019-03-31,388,减持,433952510,13327249781.2,-304397871,-41.226750717963,0.2892711634223631,0.005794147642152525,-0.06919332406119617,-0.07227957767229232,-0.006933744221879804,-0.020313593125744153
661,长春高新,2019-03-31,386,减持,42121221,13352005844.79,-12200238,-22.459334164791102,0.8010041077133729,0.5175270919331624,-0.03185161496642143,-0.03493786857751758,0.1449993214818836,0.13161947257801926
300498,温氏股份,2019-03-31,383,增持,393332218,15954897950.8,5470821,1.41050928045825,0.5523715415019765,0.268894525721766,0.0012558869701726576,-0.0018303666409234915,-0.07986906710310969,-0.09324891600697403
601166,兴业银行,2019-03-31,347,减持,726372343,13198185472.31,-49073978,-6.32848163322449,0.215843023255814,-0.06763399252439656,0.08520710059171606,0.08212084698061992,-0.015756893640967988,-0.029136742544832336
600276,恒瑞医药,2019-03-31,328,减持,208347534,13630095674.28,-18123085,-8.00240008175189,0.4775876120619396,0.19411059628172905,-0.0038272279934390536,-0.006913481604535202,0.015358993338267918,0.001979144434403571
333,美的集团,2019-03-31,316,减持,283086911,13794825173.03,-101724755,-26.434945711859,0.30971946727118166,0.026242451490971097,0.0628742514970061,0.059787997885909945,0.06697654764420033,0.053596698740335985
600048,保利地产,2019-03-31,310,减持,946260199,13474745233.8,-745099619,-44.053288429251296,0.2125468164794007,-0.07093019930080985,-0.0669201520912548,-0.07000640570235095,0.015126050420168043,0.0017462015163036953
2475,立讯精密,2019-03-31,279,减持,561010608,13838939043.4,-56163339,-9.10008260604688,0.7602409638554215,0.47676394807521094,0.0563573883161511,0.05327113470505495,0.023842917251051882,0.010463068347187535
63,中兴通讯,2019-03-31,258,减持,216044254,6287081916.8,-114311242,-34.6024943989429,0.4897435897435898,0.20626657396337922,0.08259986459038596,0.07951361097928981,0.11012006861063468,0.09674021970677034
2415,海康威视,2019-03-31,258,减持,410428088,14393713046.16,-145808101,-26.2133431595189,0.3587133550488599,0.07523633926864937,-0.07715133531157274,-0.08023758892266888,-0.08503401360544217,-0.09841386250930652
300059,东方财富,2019-03-31,254,减持,399329950,7739014431.0,-343829110,-46.2658841836632,0.6014319809069211,0.3179549651267105,-0.1573867854491463,-0.16047303906024246,0.08157389635316695,0.0681940474493026
600031,三一重工,2019-03-31,232,减持,566085464,7234572229.92,-267688423,-32.1056376523339,0.5375000000000001,0.2540229842197895,-0.05905826017557863,-0.06214451378667478,0.10827464788732398,0.09489479898345964
601398,工商银行,2019-03-31,227,减持,912113942,5080474656.94,-1482830516,-61.915027342149706,0.049689440993788865,-0.2337875747864217,0.03929273084479375,0.0362064772336976,0.03474903474903487,0.02136918584517052
