股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%,过去一季收益率,相对沪深300指数的收益率1,未来一个月,相对沪深300指数的收益率2,两到三月,相对沪深300指数的收益率3
601318,中国平安,2015-03-31,335,减持,544151103,42574382298.72,-194826914,-26.364372081179198,0.0055523085914669125,-0.13048183524674234,0.12036771042803784,-0.05027677509260303,-0.08037764735902013,-0.020549665418394043
601166,兴业银行,2015-03-31,267,减持,1418569635,26044938498.6,-40541381,-2.77849872665206,0.09118086696562024,-0.04485327687258901,0.06634416033172073,-0.10430032518892014,-0.08078175895765474,-0.020953777017028656
2,万科A,2015-03-31,141,减持,687016415,9494566855.3,-764622758,-52.673058995770205,-0.039930555555555476,-0.17596469939376472,0.06278434940855318,-0.1078601361120877,-0.006837606837606844,0.052990375103019245
600000,浦发银行,2015-03-31,133,减持,684109987,10802096694.73,-696505210,-50.4489021643009,-0.005399568034557121,-0.14143371187276638,0.1444082519001084,-0.026236233620532484,-0.01428571428571432,0.04554226765491177
600030,中信证券,2015-03-31,119,减持,768849940,25233655030.8,-180642449,-19.0251602954134,-0.03187250996015939,-0.16790665379836864,0.04270584215920738,-0.1279386433614335,-0.21322803553800593,-0.15340005359737985
625,长安汽车,2015-03-31,119,减持,450920859,10036688220.99,-258183158,-36.409772305661605,0.236766809728183,0.10073266588997376,0.24233661075766347,0.07169212523702259,-0.14990689013035377,-0.09007890818972769
600036,招商银行,2015-03-31,106,减持,841923814,13108753783.98,-413040529,-32.912531045513504,-0.05969049373618279,-0.19572463757439204,0.16823161189358377,-0.0024128736270571105,0.026773761713520774,0.08660174365414686
600837,海通证券,2015-03-31,105,减持,717242271,16790641564.11,-72430570,-9.17222503287282,-0.03233256351039258,-0.16836670734860182,0.206977840641207,0.036333355120566124,-0.23907956318252727,-0.1792515812419012
2081,金螳螂,2015-03-31,100,减持,243426302,8561303041.34,-54212690,-18.214243246731602,1.0694310511089684,0.9333969072707592,-0.16139240506329114,-0.33203689058393204,-0.07008086253369276,-0.010252880593066678
24,招商地产,2015-03-31,100,减持,166415469,5481725548.86,-295284436,-63.9559230578572,0.1459725641927541,0.009938420354544841,-0.02977286678944134,-0.20041735231008223,0.0,0.059827981940626086
601601,中国太保,2015-03-31,96,减持,253311371,8587255476.9,-223020950,-46.8204528997309,0.02720114531138146,-0.10883299852682779,0.007863247863247878,-0.162781237657393,-0.13624070317782278,-0.0764127212371967
600570,恒生电子,2015-03-31,96,减持,102319063,11140499579.44,-36034175,-26.0450536040219,0.9877010406811731,0.8516668968429639,0.13599246231155784,-0.03465202320908303,-0.09501253831150748,-0.035184556370881394
600016,民生银行,2015-03-31,92,减持,1072399426,10402274432.2,-1109368060,-50.8472175480939,-0.1017881705639614,-0.23782231440217066,0.09662576687116577,-0.07401871864947511,-0.06293706293706296,-0.0031090809964368707
601988,中国银行,2015-03-31,91,减持,831117169,3640293200.22,-1096286384,-56.878923061734106,0.04792332268370604,-0.08811082115450321,0.10365853658536595,-0.06698594893527493,0.013850415512465448,0.07367839745309153
651,格力电器,2015-03-31,90,减持,179796507,7871491076.46,-193266628,-51.8053406697502,0.15484311050477487,0.01880896666656562,0.3018310691080921,0.13118658358745122,0.11759384893713258,0.17742183087775867
600048,保利地产,2015-03-31,89,减持,556019603,6388665238.47,-1185186559,-68.0669862573114,-0.013771186440677862,-0.14980533027888712,0.3029001074113856,0.13225562189074475,-0.21321070234113718,-0.1533827204005111
300253,卫宁健康,2015-03-31,85,减持,58082542,9473262600.2,-11494072,-16.5200220867316,1.3650190114068441,1.2289848675686348,0.07066381156316918,-0.09998067395747169,-0.25599999999999995,-0.19617201805937387
300059,东方财富,2015-03-31,84,增持,244105493,9472040693.62,50653435,26.1839731888508,0.4735849056603773,0.33755076182216803,1.8527528809218954,1.6821083954012546,-0.27457773928107404,-0.21474975734044796
1,平安银行,2015-03-31,82,减持,324919837,5117487432.75,-409024466,-55.729632933740504,-0.014648437500000035,-0.15068258133820928,0.2771203155818539,0.10647583006121303,-0.12895752895752896,-0.06912954701690288
600887,伊利股份,2015-03-31,79,减持,244894588,7554998039.8,-185070629,-43.043162954272205,0.06877022653721694,-0.0672639173009923,0.181680545041635,0.011036059520994124,0.05840821566110387,0.11823619760172996
601668,中国建筑,2015-03-31,75,减持,494405376,3792089233.92,-825305227,-62.5368338425027,0.04054054054054047,-0.09549360329766877,0.42608695652173917,0.2554424710010983,-0.2448071216617211,-0.18497913972109503
601688,华泰证券,2015-03-31,70,减持,234547224,7062216914.64,-251834088,-51.77708965923429,0.20990990990990993,0.07387576607170068,-0.01233183856502249,-0.18297632408566336,-0.20770392749244712,-0.14787594555182104
2405,四维图新,2015-03-31,69,增持,110710989,4517008351.2,52036305,88.68612739354509,1.0906976744186048,0.9546635305803955,-0.07234997195737516,-0.24299445747801604,0.17233009708737862,0.2321580790280047
776,广发证券,2015-03-31,67,减持,239273834,6675739968.6,-119294137,-33.2696020415053,0.06605019815059444,-0.0699839456876148,0.0028676771814830104,-0.16777680833915787,-0.18985270049099837,-0.1300247185503723
600271,航天信息,2015-03-31,66,减持,105589414,5319307712.19,-32980708,-23.800735341778804,0.5841995841995842,0.44816544036137496,0.20078740157480315,0.030142916054162278,0.08592057761732849,0.14574855955795457
600219,南山铝业,2015-03-31,65,增持,115133014,1245739211.48,78431566,213.701557497132,0.2128378378378378,0.07680369399962855,0.08563535911602212,-0.08500912640461876,-0.14213197969543148,-0.0823039977548054
