股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%,过去一季收益率,相对沪深300指数的收益率1,未来一个月,相对沪深300指数的收益率2,两到三月,相对沪深300指数的收益率3
600519,贵州茅台,2020-09-30,1453,增持,68459069,114223956626.5,6662896,10.7820527979945,0.13658038147138965,0.03718048116846409,-0.012990543735224597,-0.019792141638994478,0.15402985074626865,0.06664268366317896
2475,立讯精密,2020-09-30,1134,减持,1083032366,61807256046.5801,-158551979,-12.7701335506127,0.11887974931453192,0.019479849011606362,-0.07174280879864639,-0.07854440670241628,0.021493624772313293,-0.0658935423107764
858,五粮液,2020-09-30,1103,增持,377447301,83415853521.0,19178888,5.35321767258338,0.2914913510986442,0.19209145079571865,0.08599999999999998,0.0791984020962301,0.16112842514267214,0.07374125805958245
601318,中国平安,2020-09-30,1001,增持,670242645,51112704107.7,70571106,11.768293375684099,0.07605474813037957,-0.023345152172545985,0.007247314611103951,0.00044571670733406944,0.09401273885350313,0.006625571770413438
333,美的集团,2020-09-30,817,增持,544363567,39514182064.2,4021938,0.744332434175639,0.2160804020100501,0.11668050170712455,0.06583629893238437,0.05903470102861448,0.21478293886849764,0.12739577178540795
601012,隆基股份,2020-09-30,749,减持,697291367,52303825438.67,-39627571,-5.377466768264821,0.8197518851860862,0.7203519848831607,-0.05083687234574079,-0.05763847024951067,0.2869096582045098,0.19952249112142012
600036,招商银行,2020-09-30,745,减持,881931751,31749543036.0,-11451158,-1.28177491248604,0.09856576136710396,-0.0008341389358215989,0.09368131868131879,0.08687972077754891,0.06322548777475907,-0.024161679308330616
300750,宁德时代,2020-09-30,693,减持,166204132,34769904414.4,-29278595,-14.9775867409503,0.17198879551820723,0.07258889521528167,0.12355107050320459,0.1167494725994347,0.3765182186234818,0.2891310515403921
600276,恒瑞医药,2020-09-30,666,减持,376079433,33779454672.06,-116194635,-23.6036473487366,-0.027922077922078056,-0.12732197822500363,-0.03434782608695648,-0.041149423990726366,0.27229622939715514,0.18490906231406545
601888,中国中免,2020-09-30,628,减持,184537731,41140841749.14,-19474955,-9.545952941377381,0.41504284354173265,0.3156429432388071,-0.10582959641255603,-0.11263119431632591,0.3274139844617092,0.24002681737861953
600887,伊利股份,2020-09-30,594,增持,770773279,29674771241.5,19297250,2.56791291475779,0.232,0.13260009969707445,0.005822784810126503,-0.000978813093643378,0.13621090721116577,0.04882374012807608
300760,迈瑞医疗,2020-09-30,525,减持,105671188,36773573424.0,-3921215,-3.5779989238852594,0.13355048859934854,0.03415058829642298,0.08988447449985922,0.08308287659608933,0.07192123278890288,-0.015465934294186814
2,万科A,2020-09-30,518,减持,803360695,22510166673.9,-283446531,-26.0806630853225,0.10970297029702969,0.01030306999410413,-0.017825311942959002,-0.024626909846728884,0.02603036876355744,-0.06135679831953225
600030,中信证券,2020-09-30,473,增持,848835259,25490522827.77,19948058,2.40660707222092,0.2660202360876898,0.16662033578476426,-0.0613114754098361,-0.06811307331360598,0.00175746924428825,-0.08562969783880144
600031,三一重工,2020-09-30,439,减持,774556835,19252394623.15,-247557367,-24.2201278991719,0.3505154639175258,0.25111556361460025,0.016849529780564254,0.010047931876794373,0.2892964071856289,0.2019092401025392
651,格力电器,2020-09-30,418,减持,238459750,12709904675.0,-241324508,-50.2985464771126,-0.058285509325681495,-0.15768540962860705,0.07267983600447271,0.06587823810070283,0.07059234667132634,-0.016794820411763348
2241,歌尔股份,2020-09-30,357,减持,413764337,16728492144.91,-43190242,-9.45175822387371,0.37704359673024523,0.2776436964273197,0.08387096774193543,0.07706936983816555,-0.15496098104793762,-0.2423481481310273
300059,东方财富,2020-09-30,352,减持,784071031,18809864033.68,-241924228,-23.5794684115592,0.19949999999999993,0.10010009969707437,-0.04532462229481419,-0.05212622019858407,0.2347417840375587,0.147354616954469
603259,药明康德,2020-09-30,344,减持,226554521,22995283881.5,-84753732,-27.2250193122892,0.036772216547497384,-0.06262768375542818,0.09436893203883494,0.08756733413506505,0.15430632532770305,0.06691915824461336
661,长春高新,2020-09-30,341,减持,60917485,22493673737.2,-35996505,-37.142733469130704,-0.150838502182403,-0.2502384024853286,-0.001306631823151407,-0.008108229726921289,0.17647058823529413,0.08908342115220444
2142,宁波银行,2020-09-30,321,减持,411452726,12937341081.6,-97425621,-19.1451692873857,0.21732405259087398,0.11792415228794842,0.06721105527638181,0.06040945737261193,0.03705899792469612,-0.05032816915839357
1,平安银行,2020-09-30,317,减持,636115757,9649876033.69,-14431584,-2.21837568005677,0.18608287724784994,0.08668297694492438,0.16013071895424832,0.15332912105047844,0.08781869688385274,0.00043152980076305303
2352,顺丰控股,2020-09-30,309,增持,359699973,29121390607.6,71012183,24.598263404212602,0.48717948717948717,0.3877795868765616,0.009632971588830534,0.002831373685060652,0.042957999282039055,-0.044429167801050634
568,泸州老窖,2020-09-30,303,减持,240206742,34481677814.1,-3958160,-1.62110113598555,0.5872401592215836,0.487840258918658,0.19129834254143638,0.1844967446376665,0.29334636839381234,0.20595920131072265
600048,保利地产,2020-09-30,293,减持,771152050,12253606074.5,-692466056,-47.311935617719094,0.07292370020256583,-0.026476200100359726,-0.040000000000000036,-0.04680159790376992,0.012329656067488612,-0.07505751101560108
600438,通威股份,2020-09-30,286,减持,662993344,17622363083.52,-92861027,-12.285571210912499,0.48077994428969356,0.381380043986768,0.07342657342657335,0.06662497552280347,0.2607973421926911,0.17341017510960138
300122,智飞生物,2020-09-30,281,减持,115448561,16033361552.91,-13421688,-10.4148848195366,0.3970116325711994,0.29761173226827387,0.12802816901408456,0.12122657111031468,-0.07615005305536493,-0.16353722013845462
601166,兴业银行,2020-09-30,272,减持,640665494,10333934418.22,-144442574,-18.397795142770104,0.06609385327164562,-0.03330604703127994,0.08868501529051982,0.08188341738674994,0.1675977653631285,0.08021059828003882
