股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%,过去一季收益率,相对沪深300指数的收益率1,未来一个月,相对沪深300指数的收益率2,两到三月,相对沪深300指数的收益率3
603331,百达精工,2017-06-30,1551,新进,1550045,14926933.3499995,1550045,0.04398716,,,,,0.11875452570601004,0.08811056463756814
603043,广州酒家,2017-06-30,1512,新进,2715597,68623136.1900018,2715597,0.671729999999991,,,-0.19865571321882003,-0.21356069599873834,0.027140851661207218,-0.0035031094072346773
603679,华体科技,2017-06-30,1492,新进,1207750,32005375.0,1207750,1.20694099999999,,,-0.07707222491517207,-0.0919772076950904,-0.017405063291139337,-0.048049024359581236
603617,君禾股份,2017-06-30,1487,新进,1239760,11071056.799999699,1239760,0.045735000000000005,,,1.326454033771107,1.3115490509911887,0.05028386050283854,0.019639899434396646
603933,睿能科技,2017-06-30,1462,新进,1255424,25359564.799999498,1255424,0.03875023,,,,,0.14525386313465796,0.11460990206621607
603938,三孚股份,2017-06-30,1456,新进,1816986,30525364.8000007,1816986,1.20915746,,,0.3687119955776673,0.353807012797749,0.2115930279691933,0.1809490669007514
603305,旭升股份,2017-06-30,1448,新进,1960809,22078709.4400004,1960809,0.01822046,,,,,-0.003248862897985674,-0.03389282396642757
603286,日盈电子,2017-06-30,1435,新进,1278727,19436650.4,1278727,1.45083315000002,,,0.5282331511839711,0.5133281684040527,0.06994404476418865,0.03930008369574676
603801,志邦家居,2017-06-30,1391,新进,1955184,66085219.1999984,1955184,1.22111158000003,,,0.18654923939151322,0.1716442566115949,-0.0516194331983806,-0.0822633942668225
603335,迪生力,2017-06-30,1369,新进,3052347,34033669.05,3052347,1.2039619,,,0.09470752089136499,0.07980253811144666,-0.01690507152145654,-0.047549032589898434
300669,沪宁股份,2017-06-30,1358,新进,1147542,19990181.6400001,1147542,1.36187448000002,,,0.32546842470506604,0.31056344192514773,0.08795811518324605,0.05731415411480415
300666,江丰电子,2017-06-30,1353,新进,3072441,58652898.690001905,3072441,1.40344039000003,,,0.5188724319159101,0.5039674491359918,0.49525316455696194,0.46460920348852003
2882,金龙羽,2017-06-30,1315,新进,3886382,24095568.3999994,3886382,0.0325046,,,,,-0.041748206131767815,-0.07239216720020972
300671,富满电子,2017-06-30,1303,新进,1227948,9958658.27999994,1227948,0.03860079,,,,,0.36564540431943754,0.3350014432509956
2879,长缆科技,2017-06-30,1298,新进,1699525,30625440.5000008,1699525,0.04382655,,,,,0.3166342412451363,0.28599028017669437
2881,美格智能,2017-06-30,1292,新进,1278515,29226852.8999992,1278515,1.19857225000002,,,0.0047522063815343026,-0.010152776398384016,0.4204851752021562,0.3898412141337143
300670,大烨智能,2017-06-30,1245,新进,1568825,17147257.2499996,1568825,0.04920182,,,0.7536231884057972,0.7387182056258789,0.22781774580335737,0.19717378473491548
300672,国科微,2017-06-30,1184,新进,1489644,12632181.1199999,1489644,0.04649214,,,,,1.2894576477757465,1.2588136867073045
601318,中国平安,2017-06-30,957,增持,758173762,37613000332.82,345406381,83.6806387566754,0.3526046371574827,0.2850668913658546,0.053448658239077323,0.038543675459159,0.05327437355232683,0.022630412483884935
651,格力电器,2017-06-30,875,增持,632801617,26052442571.89,172373246,37.4375813605109,0.3436692506459948,0.2761315048543667,0.0032858707557502035,-0.011619112024168115,-0.04386920980926429,-0.07451317087770618
603380,易德龙,2017-06-30,820,新进,1046382,28513909.5,1046382,0.653988780000005,,,-0.18592562974810084,-0.20083061252801915,0.15285359801488843,0.12220963694644654
600519,贵州茅台,2017-06-30,779,增持,46260371,21827956056.35,7296344,18.7258467919653,0.22179648585034764,0.15425874005871953,0.03593081312410843,0.021025830344190113,0.0694862748472593,0.03884231377881741
858,五粮液,2017-06-30,771,增持,373012962,20761901464.92,120693550,47.8336363592984,0.33568548387096775,0.26814773807933967,0.0024556101246694857,-0.012449372655248833,0.02384081096301851,-0.006803150105423386
600104,上汽集团,2017-06-30,671,增持,384751530,11946535006.5,137329750,55.5043092810989,0.3219076005961252,0.25436985480449714,-0.018113207547169826,-0.033018190327088144,-0.004617160446325412,-0.035261121514767305
