股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%,过去一季收益率,相对沪深300指数的收益率1,未来一个月,相对沪深300指数的收益率2,两到三月,相对沪深300指数的收益率3
600968,海油发展,2019-06-30,2182,新进,121982153,433690822.950001,121982153,1.19810925,,,-0.05974025974025973,-0.05230052009267931,-0.15555555555555556,-0.1446110791324626
601698,中国卫通,2019-06-30,2054,新进,19291036,75620861.12,19291036,0.482007780000003,,,1.4779582366589328,1.4853979763065133,0.10179076343072574,0.11273523985381871
603867,新化股份,2019-06-30,2004,新进,2053765,53031961.860001504,2053765,1.46697761999996,,,0.06241032998565287,0.0698500696332333,-0.036157024793388455,-0.025212548370295483
601236,红塔证券,2019-06-30,1940,新进,18557894,64210313.2399984,18557894,0.0040413,,,,,0.08151382823871901,0.09245830466181199
300782,卓胜微,2019-06-30,1939,新进,1310929,142786386.680002,1310929,1.310929,,,0.9275908885201386,0.935030628167719,0.6309887869520897,0.6419332633751826
300594,朗进科技,2019-06-30,1909,新进,1313261,57927942.71000121,1313261,1.4771185199999801,,,-0.26777202072538864,-0.2603322810778082,0.014116969173149006,0.025061445596241974
603863,松炀资源,2019-06-30,1758,新进,2411189,55650242.12000091,2411189,1.17108598999997,,,-0.17235901509134233,-0.1649192754437619,-0.09475218658892126,-0.08380771016582829
601318,中国平安,2019-06-30,1590,增持,895970877,79391979411.0601,108134884,13.725557725312,0.15239379635873224,0.17176747143569632,-0.006753663003663043,0.0006860766439173785,-0.018209232196706022,-0.007264755773613052
600519,贵州茅台,2019-06-30,1500,增持,62273807,61277426088.0,14616653,30.6704277808952,0.16112550288299693,0.180499177959961,-0.025470329935946466,-0.018030590288366045,0.17948638132295722,0.19043085774605018
300788,中信出版,2019-06-30,1446,新进,2249205,33400694.250000898,2249205,0.00900119,,,,,0.06248468512619449,0.07342916154928746
651,格力电器,2019-06-30,1295,增持,623507950,34292937250.0,259849777,71.4544031435807,0.16497404649063405,0.18434772156759813,-0.02065176203107244,-0.01321202238349202,0.06607590059718757,0.07702037702028054
600887,伊利股份,2019-06-30,1244,增持,1008846749,33705569884.06,252622396,33.4057472491897,0.1605995717344755,0.17997324681143959,-0.060422960725075525,-0.052983221077495105,-0.10074505992873338,-0.08980058350564041
858,五粮液,2019-06-30,1128,增持,356056202,41996829025.95,102240894,40.281610595370395,0.26321502225116683,0.2825886973281309,0.014217613113657296,0.021657352761237716,0.06219936971305369,0.07314384613614666
600036,招商银行,2019-06-30,1074,增持,1017926203,36624984783.98,229155298,29.052199637104998,0.052012383900928785,0.07138605897789285,0.027369634111207023,0.03480937375878745,-0.04774011299435022,-0.03679563657125725
333,美的集团,2019-06-30,1073,增持,555748171,28821100148.08,272661260,96.3171554053236,0.07998289136013692,0.09935656643710099,0.04207056998836762,0.04951030963594804,-0.07302533532041731,-0.06208085889732434
600030,中信证券,2019-06-30,1009,增持,764525365,18203348940.65,173161734,29.281769274039103,-0.03873386089129543,-0.019360185814331358,-0.050627615062761394,-0.043187875415180974,-0.02122954444935871,-0.01028506802626574
600276,恒瑞医药,2019-06-30,986,增持,309066508,20398389528.0,100718974,48.3418123873739,0.0,0.01937367507696407,-0.000538599640933593,0.006901140006646828,0.2150362318840578,0.22598070830715075
600048,保利地产,2019-06-30,944,增持,1542819040,19686370950.36,596558841,63.0438479427158,-0.08136882129277569,-0.06199514621581162,0.1343161343161342,0.14175587396371464,-0.009509875640087841,0.001434600783005129
601888,中国中免,2019-06-30,880,增持,179726783,15932779312.95,106227597,144.528943490612,0.25686637256297135,0.2762400476399354,0.003809097019941622,0.011248836667522043,0.042622582096266216,0.05356705851935919
601398,工商银行,2019-06-30,873,增持,2326448839,13701956776.22,1414334897,155.06120802175,0.05304518664047161,0.07241886171743568,-0.005545286506469547,0.0018944531411108747,-0.020484171322160207,-0.009539694899067237
2475,立讯精密,2019-06-30,855,增持,768116718,18973392789.37,207106110,36.9166121008535,0.0034364261168384146,0.022810101193802484,0.059577194106342074,0.0670169337539225,0.24033816425120777,0.25128264067430073
