时间,过去一季平均收益率,相对沪深300指数的收益率1,未来一个月平均收益率,相对沪深300指数的收益率2,两到三月平均收益率,相对沪深300指数的收益率3,过去一季收益率方差,相对沪深300指数的收益率方差1,未来一月收益率方差,相对沪深300指数的收益率方差2,两到三月收益率方差,相对沪深300指数的收益率方差3
2020-12-31,0.2917107161334381,0.1771882487070361,0.048599387183124454,0.021929165254190093,0.0,0.0,0.01364939277826402,0.013619859497317005,0.0007470717133133485,0.0007470717133133485,0.0,0.0
2020-09-30,0.31596659619040207,0.21899903970109075,-0.02769779868727008,-0.034499396591039976,-0.03887747084687391,-0.1262646379299636,0.0022027746432440745,0.00217194767877992,0.00024450342544188547,0.00024450342544188547,0.0006762918912823825,0.0006762918912823824
2020-06-30,0.1696932774284772,0.046769115989049315,0.175103534339825,0.05922725457449677,-0.02712943133383035,-0.013204776655808294,0.0018139350226003955,0.0018139350226003953,0.0009016030934570132,0.0009016030934570131,0.0010251167793435233,0.0010251167793435233
2020-03-31,0.10401073605112628,0.2096047768387324,-0.0036352645245219667,-0.06617226585521192,0.10728187520914524,0.03056088929146715,0.0016552596213605041,0.001655259621360504,0.0003647173883258915,0.0003647173883258916,0.0011810749331600348,0.0011810749331600348
2019-12-31,0.05996186140944297,-0.011013222406415411,-0.031416080948946164,-0.0029181373139721347,-0.0076827138066422026,-0.020389071930881544,0.0005430284746520693,0.0005410316175874434,0.0001935132447107151,0.0001935132447107151,0.00029154203022554965,0.00029154203022554954
2019-09-30,0.016894014281744824,0.03864134010438606,0.021300666020140017,0.002277937735616197,0.03639482052039874,-0.008339313797186209,0.0008857287488991664,0.0008857287488991665,0.0014179341772498813,0.0014179341772498808,0.0005857799355853962,0.0005857799355853962
2019-06-30,-0.04872070673854649,-0.029347031661582416,-0.036170685902795936,-0.02873094625521552,-0.042805657622104434,-0.031861181199011455,0.0008075011144946605,0.0008075011144946605,0.0002455835371526303,0.0002455835371526303,0.00014448604845213386,0.00014448604845213386
2019-03-31,0.4147058111255201,0.13122879534530957,-0.07105795425113548,-0.07414420786223162,-0.03972547825350858,-0.053105327157372914,0.0012697740388735587,0.0012697740388735578,0.0002773560226273666,0.00027735602262736654,0.0003111277078988656,0.00031112770789886547
2018-12-31,-0.05595291714506924,0.04843611651787289,-0.028346287288481053,-0.08951821899705924,0.37116020573330216,0.1707063549770392,0.0005885083852263407,0.0005885083852263407,0.0001440686391289838,0.00014406863912898389,0.0008005316075791727,0.0008005316075791726
2018-09-30,-0.05411407053001195,-0.03539506674626212,-0.08534393601228288,-0.010586977933295867,0.011322197296000225,0.04533617379648464,0.0009065419596665138,0.0009065419596665138,0.0001904249623113214,0.00019042496231132136,0.0005496074686168086,0.0005496074686168085
2018-06-30,-0.11263370636869242,-0.013575710623236252,-0.000977099681217483,-0.004007523769379385,-0.07249102664894314,-0.05209204873430502,0.0006981544989717593,0.0006981544989717592,0.00012531951358135242,0.00012531951358135245,0.0002223432809747326,0.00022234328097473264
2018-03-31,0.05280295048606703,0.08907053609966929,-0.03541966068555015,0.0005386766038075981,-0.09745216609286124,-0.028763888061173713,0.0012713444252182462,0.0012713444252182465,0.0002559564972590228,0.00025595649725902275,0.00033698069014829156,0.0003369806901482915
2017-12-31,-0.08278528932634062,-0.11366421600615263,0.009570178258823973,-0.04745776343023531,-0.027780942196390213,0.06057498834234151,0.0005780515112280057,0.0005780515112280055,0.0001328983629061078,0.00013289836290610783,0.00019907807104335926,0.0001990780710433593
2017-09-30,0.17021822130236586,0.125211220079552,-0.07816465379100022,-0.10363964042820473,-0.08188103379855478,-0.09075626249963278,0.002589308616343295,0.0025842277961599944,0.00019227670081302587,0.00019227670081302587,0.00042628036108394884,0.00042628036108394873
2017-06-30,-0.09748148707802003,-0.1633585463176547,-0.027940023315363622,-0.04284500609528193,0.12805927040493897,0.09741530933649707,0.001013293611030386,0.0010250616780228823,0.0005054488824646877,0.0005054488824646876,0.0009468469079556518,0.0009468469079556514
2017-03-31,0.08611961575857122,0.04324027237680614,-0.0629584798490037,-0.0524102722101108,-0.07076349073701872,-0.14045006451937073,0.0027312829567322614,0.0027312829567322614,0.0002703355589123234,0.0002703355589123234,0.0003555364294865947,0.0003555364294865947
2016-12-31,0.0672084265034937,0.054200134148722705,-0.05986599476096989,-0.0821988603745127,0.006647164155012288,-0.012077453859128354,0.0036000541728056184,0.00359830899377132,0.000151391445698457,0.00015139144569845694,0.00011243759724196386,0.00011243176316175835
2016-09-30,0.13276641058056954,0.10299674900906866,0.02682902359457526,0.003931088910497581,-0.026868960311832186,-0.020168104174682223,0.0022980162192322386,0.002294443987188208,8.302870661583581e-05,8.302870661583578e-05,0.0006507772410983114,0.0006507772410983114
2016-06-30,0.08090471560716893,0.10421699109335737,-0.016576465621780313,-0.03146434720293667,0.031532768700997804,0.013747301789474543,0.0039950608215974705,0.0039950608215974705,0.00021321286730331446,0.00021321286730331446,0.0003040549273738041,0.00030405492737380405
2016-03-31,-0.12528805247439437,0.010994577576117433,0.007597143040262562,0.025308980285530448,0.037389022404710634,0.03925621737151257,0.0007112165299304141,0.000711216529930414,0.0003951502249610381,0.0003951502249610381,0.0008254431957177426,0.0008254431957177426
2015-12-31,0.47727111583307763,0.3551560955923544,-0.2944478996660632,-0.0851619898358495,0.1542118607828583,0.05926589203115702,0.004742641342412109,0.004742641342412109,0.00020442769160423905,0.000204427691604239,0.0002795179376202618,0.0002795179376202616
