时间,过去一季平均收益率,相对沪深300指数的收益率1,未来一个月平均收益率,相对沪深300指数的收益率2,两到三月平均收益率,相对沪深300指数的收益率3,过去一季收益率方差,相对沪深300指数的收益率方差1,未来一月收益率方差,相对沪深300指数的收益率方差2,两到三月收益率方差,相对沪深300指数的收益率方差3
2020-12-31,0.38543568610564594,0.26799876492227076,0.0730904699538574,0.04642024802492308,0.0,0.0,0.0021535232745592903,0.002153523274559292,0.000396499989301259,0.00039649998930125894,0.0,0.0
2020-09-30,0.46322633624709586,0.3662921699051731,0.015606118553601198,0.008804520649831312,0.1698604941614842,0.08247332707839446,0.0030828712759956205,0.0030321661146311195,0.0003523697470350486,0.0003523697470350487,0.0010344826316116451,0.0010344826316116447
2020-06-30,0.33451192866895735,0.21158776722952952,0.15712260034494174,0.041246320579613506,-0.010407012426034033,0.003517642251988016,0.0017833222475903405,0.00178332224759034,0.0007640996711221868,0.0007640996711221866,0.0004262128556448657,0.0004262128556448657
2020-03-31,0.2953405797772816,0.40093462056488766,0.09218711247742538,0.02965011114673543,0.17532844228225766,0.0986074563645796,0.0030529461056972504,0.0030529461056972487,0.0002714721700435434,0.00027147217004354335,0.0014889313120696104,0.0014889313120696106
2019-12-31,0.14240716724660726,0.06960804505752709,-0.004494018824345686,0.02400392481062834,0.015864090482252326,0.00315773235801299,0.0005790561474045909,0.0005790561474045909,0.00030310778438097456,0.0003031077843809746,0.0003636331710487447,0.00036363317104874486
2019-09-30,0.317278581321276,0.3380083717155184,0.035286099344819376,0.016263371060295538,0.10816161771173363,0.0634274833941487,0.003670293546106879,0.0036927882949616526,0.0003455977077831137,0.0003455977077831137,0.0010322305962457733,0.0010322305962457735
2019-06-30,0.05056912643298104,0.0699428015099451,0.008654933490895701,0.016094673138476102,-0.0017372397095361729,0.009207236713556801,0.00035747177225187046,0.0003574717722518706,6.499996413691887e-05,6.499996413691888e-05,0.00020649352476922726,0.00020649352476922726
2019-03-31,0.7032420205132309,0.4197650047330204,-0.04098934267488786,-0.044075596285983995,-0.011157826980584106,-0.024537675884448443,0.00445743674470631,0.004457436744706311,0.0005109194913097566,0.0005109194913097566,0.00045474426341830657,0.0004547442634183066
2018-12-31,-0.05391676978560857,0.05047226387733355,0.08226117837275268,0.02108924666417454,0.18662676481492596,-0.01382708594133697,0.00032997476899748914,0.0003299747689974892,0.00015252558866129422,0.00015252558866129414,0.0007425658458963356,0.0007425658458963353
2018-09-30,0.12876968443801748,0.1474886882217673,-0.08868929104422643,-0.013932332965239368,-0.031623223452395356,0.0023907530480890534,0.0009138074542728575,0.0009138074542728575,0.0003259387372853381,0.00032593873728533815,0.0004302296296790782,0.0004302296296790782
2018-06-30,-0.009436021777264365,0.08962197396819177,-0.00954721276319094,-0.012577636851352858,-0.05244939481809492,-0.03205041690345678,0.00043194078243267715,0.0004319407824326772,0.00019010385929546923,0.00019010385929546923,0.0002758314745631197,0.0002758314745631197
2018-03-31,0.2115812688642072,0.24784885447780947,-0.019070938147044064,0.016887399142313693,-0.037911750259659344,0.03077652777202817,0.0007208782142208783,0.0007208782142208783,0.0002452218593837951,0.00024522185938379503,0.0005468231971228653,0.0005468231971228653
2017-12-31,0.14431496724230417,0.11343604056249214,0.05512799822737316,-0.001899943461686134,-0.08792068193126157,0.00043524860747020056,0.00048569188055770754,0.00048569188055770743,0.0003612153569234609,0.0003612153569234608,0.00022550061109828383,0.00022550061109828374
2017-09-30,0.365623821923733,0.3194663679325734,0.018951587711486383,-0.006523398925718108,-0.0297428309822157,-0.0386180596832937,0.0022650856698034037,0.002265085669803404,0.0002883170350832836,0.00028831703508328357,0.0004960606190639046,0.0004960606190639046
2017-06-30,0.2065897745626308,0.13905202877100267,0.022396382878533908,0.007491400098615599,0.039439331502344015,0.008795370433902133,0.00047008395720292276,0.0004700839572029228,0.00012266804877419718,0.00012266804877419712,0.000193929160959354,0.000193929160959354
2017-03-31,0.16191644272657293,0.11903709934480784,0.0013490529281113038,0.011897260567004207,0.05212572736590829,-0.0175608464164437,0.0004524030790875955,0.0004524030790875954,0.00011692439314384331,0.00011692439314384331,0.0003087950503274008,0.00030879505032740083
2016-12-31,0.024378249374693135,0.010682975346714672,0.03595011265514286,0.013617247041600063,0.06374527023647941,0.04454109910938441,0.0002433574781400161,0.0002433574781400161,3.773255050504848e-05,3.7732550505048465e-05,0.00023790043179703905,0.00023790043179703905
2016-09-30,0.240598130044982,0.2100779728036113,-0.0016163953032669752,-0.02451432998734466,-0.04109736758909754,-0.03439651145194755,0.0017584196693898324,0.0017584196693898318,9.331227481957693e-05,9.331227481957696e-05,0.00015263564378311986,0.00015263564378311986
2016-06-30,0.05643559160019944,0.07974786708638787,0.04653908116402694,0.03165119958287055,0.009564953267965935,-0.008220513643557333,0.0003510061781915411,0.00035100617819154123,0.0003330867992608778,0.0003330867992608778,0.0003881891898690891,0.00038818918986908914
2016-03-31,0.07090917138078884,0.20719180143130064,-0.02083840816277731,-0.0031265709175094273,0.03752632609290156,0.039393521059703486,0.003450586082105441,0.003450586082105442,0.0003380177830609764,0.00033801778306097633,0.000553380539749276,0.0005533805397492761
2015-12-31,0.23684559008984743,0.11473056984912411,-0.20807691278040755,0.0012089970498061467,0.11391987795609022,0.018973909204388954,0.0014196670131838211,0.0014196670131838205,0.00023348959927134712,0.00023348959927134704,0.00021864165762423645,0.0002186416576242363
