,持有基金家数,持股变动比例%,过去一季收益率,未来一个月,两到三月
持有基金家数,1.0,0.3806483111450984,0.1108035985449471,0.0025602904521402478,0.04200768574137281
持股变动比例%,0.3806483111450984,1.0,0.08787684122302189,-0.01602146831724514,0.04225295871837962
过去一季收益率,0.1108035985449471,0.08787684122302189,1.0,-0.10158758617075592,-0.0721425351059587
未来一个月,0.0025602904521402478,-0.01602146831724514,-0.10158758617075592,1.0,0.054080097790212805
两到三月,0.04200768574137281,0.04225295871837962,-0.0721425351059587,0.054080097790212805,1.0
