股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
601318,中国平安,2019-03-31,847,减持,787835993,60742155060.3,-15647161,-1.94741618689867
600519,贵州茅台,2019-03-31,727,减持,47657154,40698732944.46,-1329533,-2.71407004927686
000858,五粮液,2019-03-31,495,增持,253815308,24112454260,45545245,21.8683589681346
600036,招商银行,2019-03-31,468,减持,788770905,26755109097.6,-90252290,-10.2673388499151
000651,格力电器,2019-03-31,458,减持,363658173,17168302347.33,-65019914,-15.1675385264094
600030,中信证券,2019-03-31,431,减持,591363631,14653990776.18,-230028568,-28.0047178777747
600887,伊利股份,2019-03-31,425,减持,756224353,22013690915.83,-102521623,-11.9385273253379
000002,万科A,2019-03-31,388,减持,433952510,13327249781.2,-304397871,-41.226750717963
000661,长春高新,2019-03-31,386,减持,42121221,13352005844.79,-12200238,-22.4593341647911
300498,温氏股份,2019-03-31,383,增持,393332218,15954897950.8,5470821,1.41050928045825
601166,兴业银行,2019-03-31,347,减持,726372343,13198185472.31,-49073978,-6.32848163322449
600276,恒瑞医药,2019-03-31,328,减持,208347534,13630095674.28,-18123085,-8.00240008175189
000333,美的集团,2019-03-31,316,减持,283086911,13794825173.03,-101724755,-26.434945711859
600048,保利地产,2019-03-31,310,减持,946260199,13474745233.8,-745099619,-44.0532884292513
002475,立讯精密,2019-03-31,279,减持,561010608,13838939043.4,-56163339,-9.10008260604688
000063,中兴通讯,2019-03-31,258,减持,216044254,6287081916.8,-114311242,-34.6024943989429
002415,海康威视,2019-03-31,258,减持,410428088,14393713046.16,-145808101,-26.2133431595189
300059,东方财富,2019-03-31,254,减持,399329950,7739014431,-343829110,-46.2658841836632
600031,三一重工,2019-03-31,232,减持,566085464,7234572229.92,-267688423,-32.1056376523339
601398,工商银行,2019-03-31,227,减持,912113942,5080474656.94,-1482830516,-61.9150273421497
601288,农业银行,2019-03-31,205,减持,1467106885,5472308681.05,-1321165857,-47.3829492036113
000568,泸州老窖,2019-03-31,201,减持,184480315,12273633542.52,-26402535,-12.5200010337493
601688,华泰证券,2019-03-31,198,减持,216382289,4848359813.1,-316913858,-59.4254917802734
600570,恒生电子,2019-03-31,196,减持,57581953,5041875804.68,-40398412,-41.2311303392266
002958,青农商行,2019-03-31,196,新进,3154514,23942761.26,3154514,0.0567812500000001
300762,上海瀚讯,2019-03-31,179,新进,212436,14209844.04,212436,0.15929593
601888,中国中免,2019-03-31,177,减持,73499186,5150822954.88,-69632960,-48.649420794683
603379,三美股份,2019-03-31,174,新进,299808,9722773.44,299808,0.0687542299999999
601012,隆基股份,2019-03-31,173,减持,374507286,9774640164.6,-212609741,-36.2124978875804
601336,新华保险,2019-03-31,168,减持,79309458,4258124800.01,-65946009,-45.4000185755487
002202,金风科技,2019-03-31,155,减持,295624124,4285719904.2,-83354302,-21.9944715269887
002304,洋河股份,2019-03-31,149,减持,38735455,5051878041.1,-53745260,-58.1150999967939
002714,牧原股份,2019-03-31,148,减持,84279203,5335716341.93,-51834527,-38.0817769081782
002157,正邦科技,2019-03-31,146,减持,225529584,3673876923.36,-11393441,-4.80892095650053
601328,交通银行,2019-03-31,144,减持,767849621,4791381635.04,-500481898,-39.4598644362791
000001,平安银行,2019-03-31,142,减持,324999402,4166492333.64,-237830684,-42.2562137163364
600585,海螺水泥,2019-03-31,136,减持,63329696,2417927793.28,-146490253,-69.817123537667
601155,新城控股,2019-03-31,133,减持,85536433,3861969949.95,-111292989,-56.5428622759457
300122,智飞生物,2019-03-31,131,减持,68794690,3515408659,-52381437,-43.2275220349302
002410,广联达,2019-03-31,129,减持,138669669,4126332512.89,-70916597,-33.8364714222257
600383,金地集团,2019-03-31,129,减持,145163283,1995995141.25,-114899282,-44.181399964274
300347,泰格医药,2019-03-31,126,减持,54807528,3630846377.7,-23965279,-30.4232893465381
