股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%,过去一季收益率,相对沪深300指数的收益率1,未来一个月,相对沪深300指数的收益率2,两到三月,相对沪深300指数的收益率3
601318,中国平安,2018-03-31,690,减持,643494696,42026638595.76,-130152915,-16.823281446157,-0.0697100555212832,-0.03344246990768093,-0.0524098415908326,-0.01645150430147483,-0.02699841185812601,0.04168986617356153
600519,贵州茅台,2018-03-31,658,减持,44879276,30680370659.12,-4992681,-10.0109987663007,-0.02339798893318263,0.012869596680419641,-0.025678717442234513,0.010279619847123254,0.12400018931326616,0.1926884673449537
600036,招商银行,2018-03-31,530,减持,739591559,21514718451.31,-147182617,-16.597530801348,0.0026375282592313596,0.03890511387283363,0.011307953260459748,0.04726629054981751,-0.11816192560175061,-0.04947364757006306
600887,伊利股份,2018-03-31,519,减持,760498108,21666591096.92,-335756765,-30.6276189296355,-0.12093023255813955,-0.08466264694453728,-0.0826756858323938,-0.04671734854303604,0.14904679376083196,0.2177350717925195
651,格力电器,2018-03-31,504,减持,456476839,21408763749.1,-111664147,-19.6543023213608,0.0610798924993892,0.09734747811299146,-0.05465493283927743,-0.018696595549919662,0.06591796874999989,0.13460624678168742
601398,工商银行,2018-03-31,442,减持,1740229988,10598000626.92,-613659223,-26.070012986690198,-0.016666666666666805,0.019600918946935466,-0.013207547169811207,0.02275079011954656,-0.12121212121212131,-0.052523843180433766
333,美的集团,2018-03-31,424,减持,410244363,22370625114.39,-28008120,-6.390863962315531,-0.02882952142994426,0.00743806418365801,-0.030370520348248633,0.005587816941109134,0.043395828944596634,0.11208410697628418
601288,农业银行,2018-03-31,406,减持,2346997861,9176761636.51,-160144424,-6.387528340857611,0.018072289156626523,0.054339874770228794,-0.02077151335311581,0.015186823936241958,-0.06306306306306306,0.0056252149686244896
600048,保利地产,2018-03-31,322,减持,804199133,10832562321.51,-293701553,-26.7511949619093,-0.05779889152810771,-0.021531305914505437,-0.03171953255425716,0.004238804735100604,-0.032258064516129115,0.03643021351555843
858,五粮液,2018-03-31,312,减持,254759964,16905871211.04,-150780617,-37.1801550977213,-0.1725808563572084,-0.13631327074360614,0.031553784860557835,0.0675121221499156,0.09834572772803163,0.16703400575971916
601166,兴业银行,2018-03-31,300,减持,531313578,8867623616.82,-154000049,-22.471470423570004,-0.020598006644518305,0.015669578969083966,-0.037237643872714894,-0.0012793065833571274,-0.0714285714285714,-0.00274029339688385
2,万科A,2018-03-31,276,减持,215612753,7177748547.37,-147942301,-40.69323184267989,0.058467023172905544,0.09473460878650782,-0.1559480173275576,-0.11998968003819982,-0.13383339913146455,-0.065145121099777
600276,恒瑞医药,2018-03-31,256,减持,100898463,8779175265.63,-3238895,-3.11021429984809,0.25359761064349723,0.2898651962570995,-0.04071908165475422,-0.0047607443653964535,0.17437163375224407,0.2430599117839316
2027,分众传媒,2018-03-31,250,减持,1151595735,14803097304.15,-306202491,-21.0044494182283,-0.08672566371681419,-0.050458078103211915,-0.1339113680154143,-0.09795303072605654,0.018681318681318674,0.08736959671300622
601939,建设银行,2018-03-31,241,减持,547257993,4241249445.75,-395084977,-41.92581571442079,0.008915304606240654,0.045182890219842925,-0.03392330383480832,0.0020350334545494453,-0.13554216867469873,-0.06685389064301119
600028,中国石化,2018-03-31,231,增持,1029186809,6669130522.32,96338466,10.3273449240613,0.05241935483870964,0.0886869404523119,0.06704980842911888,0.10300814571847665,-0.0018018018018017634,0.06688647622988578
2415,海康威视,2018-03-31,229,减持,235647597,9732245756.1,-45203371,-16.095145166101002,0.051164049810503535,0.08743163542410581,-0.07179487179487172,-0.03583653450551395,-0.04873451803984928,0.019953759991838266
600030,中信证券,2018-03-31,220,减持,375296009,6972999847.22,-152060224,-28.834441405,0.025087514585764276,0.06135510019936655,0.012401352874859212,0.04835969016421698,-0.14418350628072085,-0.0754952282490333
600703,三安光电,2018-03-31,209,减持,426210968,9943501883.44,-158583291,-27.117792037011103,-0.08892481810832657,-0.0526572324947243,-0.1712901805372083,-0.13533184324785053,-0.0015932023366966323,0.06709507569499092
601328,交通银行,2018-03-31,208,减持,911235393,5631434728.74,-164991572,-15.3305554837125,-0.005660377358490613,0.030607208255111658,0.0,0.03595833728935777,-0.07196969696969695,-0.0032814189380094005
