股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%,过去一季收益率,相对沪深300指数的收益率1,未来一个月,相对沪深300指数的收益率2,两到三月,相对沪深300指数的收益率3
300493,润欣科技,2015-12-31,289,新进,1955569,80843222.4599997,1955569,1.62964089000001,,,,,,
601166,兴业银行,2015-12-31,286,减持,1010215589,17244380104.23,-28459760,-2.74000533731739,0.6078431372549018,0.17188756056860793,-0.14050822122571008,-0.10357701646082745,0.30240856378233705,0.09676245448494619
300496,中科创达,2015-12-31,286,新进,1732995,242636629.949999,1732995,1.73299499999999,,,,,,
601318,中国平安,2015-12-31,283,减持,527586851,18993126636.0,-79819849,-13.1410880057793,0.8005479452054794,0.3645923685191856,-0.10929281122150784,-0.07236160645662522,0.18004115226337436,-0.025604957034016496
600271,航天信息,2015-12-31,273,增持,124790304,8814631179.91,30143228,31.8480287758705,0.19659574468085111,-0.23935983200544275,0.1857241857241857,0.22265539048906832,0.36233611442193076,0.1566900051245399
600048,保利地产,2015-12-31,263,增持,557524487,5932060541.68,428588298,332.403417011185,0.8819742489270385,0.4460186722407446,-0.10063559322033891,-0.06370438845545628,0.14796547472256488,-0.05768063457482597
651,格力电器,2015-12-31,262,增持,326040159,7286997553.65,188431753,136.933315687125,0.33830382106244167,-0.0976517556238522,0.06548431105047743,0.10241551581536006,0.10078023407022099,-0.10486587522716986
300494,盛天网络,2015-12-31,262,新进,1563184,40736575.04,1563184,1.29744503,,,,,,
2780,三夫户外,2015-12-31,262,新进,915406,57066410.0399998,915406,1.36627810999999,,,,,,
300017,网宿科技,2015-12-31,251,减持,104519553,6270127984.47,-9450232,-8.29187490351061,-0.1361445783132531,-0.572100154999547,0.306834030683403,0.34376523544828563,0.43164693218514555,0.2260008228877547
1,平安银行,2015-12-31,250,增持,471885828,5657911077.72,237879360,101.655036304381,0.5567484662576688,0.12079288957137496,-0.12890625000000003,-0.0919750452351174,0.15843857634902397,-0.04720753294836688
858,五粮液,2015-12-31,247,增持,196988271,5373840032.88,78954750,66.8918027108587,0.16293155663234388,-0.27302402005395,0.028526970954356697,0.06545817571923931,0.06099436186570977,-0.14465174743168108
2777,久远银海,2015-12-31,244,新进,1025544,16921476.0,1025544,1.2766,,,,,,
601336,新华保险,2015-12-31,244,增持,86302045,4505829769.45,68018085,372.009592013984,1.0170454545454546,0.5810898778591607,0.04542546385156755,0.08235666861645018,0.00713994288045684,-0.19850616641693403
333,美的集团,2015-12-31,236,增持,163416298,5363322900.36,94515862,137.177451242834,0.3761140819964348,-0.059841494689859054,0.07711918419375392,0.11405038895863655,0.11686746987951792,-0.08877863941787294
625,长安汽车,2015-12-31,236,增持,251118093,4261474038.21,152524316,154.69973931519,0.19352088661551572,-0.24243469007077814,0.16881258941344773,0.20574379417833036,0.042822677925211154,-0.1628234313721797
2,万科A,2015-12-31,234,减持,314923564,7677993261.96,-172725025,-35.4199784222076,0.45740498034076005,0.02144940365446618,-0.08854166666666663,-0.051610461901784005,0.08007812500000003,-0.12556798429739083
2292,奥飞娱乐,2015-12-31,233,增持,160439580,8296330681.80001,78659203,96.1834683153882,-0.16353276353276358,-0.5994883402190574,0.16963064295485653,0.20656184771973915,0.2939089296274393,0.08826282033004845
2778,高科石化,2015-12-31,230,新进,1237035,10514797.5,1237035,0.06916768,,,,,,
300059,东方财富,2015-12-31,229,增持,116852888,6079855762.64,19610661,20.1668160067951,0.781144781144781,0.34518920445848716,0.3754716981132076,0.4124029028780902,0.08321775312066569,-0.12242835617672516
300492,华图山鼎,2015-12-31,228,新进,1371168,24118845.1200001,1371168,1.64803853,,,,,,
600276,恒瑞医药,2015-12-31,226,增持,119769670,5883086190.4,9510077,8.62516969385149,0.0105263157894738,-0.4254292608968201,0.08617424242424243,0.12310544718912506,0.14449339207048464,-0.06115271722690621
603299,苏盐井神,2015-12-31,226,新进,4928339,26169480.0900001,4928339,0.880941380000003,,,,,,
