股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%,过去一季收益率,相对沪深300指数的收益率1,未来一个月,相对沪深300指数的收益率2,两到三月,相对沪深300指数的收益率3
2802,洪汇新材,2016-06-30,1013,新进,1574638,23745541.040000197,1574638,1.45799516,,,2.858854860186418,2.8439669786052617,0.0005343783398646444,-0.01725108857165864
603958,哈森股份,2016-06-30,982,新进,2080450,30166525.0,2080450,0.956055730000013,,,1.4015544041450778,1.3866665225639214,0.02064409578860446,0.002858628877081177
2799,环球印务,2016-06-30,973,新进,1012376,44180088.6400003,1012376,1.01129599999999,,,0.3617021276595746,0.3468142460784182,-0.1666666666666667,-0.18445213357819
603016,新宏泰,2016-06-30,962,新进,1443086,12251800.1400002,1443086,0.01151994,,,2.9094107299912055,2.894522848410049,-0.17001870907390076,-0.18780417598542404
2805,丰元股份,2016-06-30,959,新进,914748,5305538.39999991,914748,0.00939287,,,,,0.2911301859799714,0.27334471906844815
300520,科大国创,2016-06-30,950,新进,843772,8479908.5999999,843772,0.01069129,,,,,0.8052208835341366,0.7874354166226133
601611,中国核建,2016-06-30,941,新进,20529183,429409332.239997,20529183,0.780391290000003,,,-0.2529095792300805,-0.2677974608112369,-0.1357493857493858,-0.15353485266090908
603131,上海沪工,2016-06-30,930,新进,1129319,68549663.30000071,1129319,1.12805600000001,,,0.12086021505376339,0.10597233347260701,-0.1716300940438871,-0.18941556095541037
603909,合诚股份,2016-06-30,930,新进,976842,17954355.9599999,976842,0.975746999999986,,,1.9845830413454804,1.969695159764324,-0.16539379474940333,-0.1831792616609266
300518,盛讯达,2016-06-30,928,新进,1079804,50588817.4000006,1079804,1.15405487000001,,,1.910278915545153,1.8953910339639966,-0.14272927568163044,-0.1605147425931537
300515,三德科技,2016-06-30,890,新进,1161295,54429896.6500002,1161295,1.1599409999999999,,,0.5837013247691691,0.5688134431880127,-0.23707805907173,-0.2548635259832533
601127,小康股份,2016-06-30,888,新进,6067631,144834351.969999,6067631,0.6785636500000078,,,0.23031262366442423,0.21542474208326787,-0.16360655737704913,-0.1813920242885724
601966,玲珑轮胎,2016-06-30,867,新进,7457057,96792599.8600004,7457057,0.00587308,,,,,-0.22538417757541268,-0.24316964448693595
603737,三棵树,2016-06-30,545,新进,721931,83801750.479999,721931,0.721930999999999,,,-0.20028510334996452,-0.2151729849311209,-0.16092995169082122,-0.1787154186023445
300516,久之洋,2016-06-30,544,新进,684900,119973932.999999,684900,0.57075004,,,-0.1872823077610074,-0.20217018934216377,-0.07225820862184512,-0.09004367553336841
858,五粮液,2016-06-30,409,增持,283354440,9217519933.199991,78827102,38.5411078884721,0.15133876600698495,0.1746510414931734,0.1424703891708967,0.12758250758974032,-0.07844878626406164,-0.09623425317558493
600519,贵州茅台,2016-06-30,389,增持,43943739,12828056288.88,12639621,40.376863516806296,0.16842423718558228,0.19173651267177072,0.09035036066539066,0.07546247908423429,-0.04822206463377562,-0.0660075315452989
300017,网宿科技,2016-06-30,346,增持,143387872,9621289568.76,50664206,54.639994497197705,0.1614939505523407,0.18480622603852914,0.10085547050877976,0.08596758892762338,-0.0613747954173486,-0.07916026232887188
600887,伊利股份,2016-06-30,337,增持,669981668,11168594405.56,312720903,87.5329545353238,0.18325434439178517,0.20656661987797362,0.1114076050700467,0.09651972348889032,-0.12348668280871666,-0.14127214972023994
333,美的集团,2016-06-30,321,增持,314401812,7457610980.64,222867231,243.47872526996102,0.20462232243517492,0.22793459792136336,0.18516791044776112,0.17028002886660476,-0.03642121931908162,-0.0542066862306049
