股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%,过去一季收益率,相对沪深300指数的收益率1,未来一个月,相对沪深300指数的收益率2,两到三月,相对沪深300指数的收益率3
601318,中国平安,2018-09-30,974,增持,789382334,54072689879.0,104894388,15.324504779518799,0.18702150929639091,0.20574051308014074,-0.05984251968503933,0.014914438393947724,-0.10968280467445744,-0.07566882817397302
600519,贵州茅台,2018-09-30,801,减持,51769880,37792012400.0,-35899,-0.0692953579561076,-0.006163952757006194,0.01255505102674363,-0.26755449679261806,-0.192797538713631,0.11957686388342349,0.1535908403839079
600036,招商银行,2018-09-30,630,减持,823214620,25264456687.8,-19933617,-2.36418889647752,0.19892473118279566,0.2176437349665455,-0.04527629233511585,0.029480665743871204,-0.12499999999999994,-0.09098602349951553
651,格力电器,2018-09-30,525,减持,423856505,17039031501.0,-134259987,-24.05590748965,-0.1447610294117648,-0.12604202562801498,-0.045150501672240925,0.029606456406746126,-0.04809907834101387,-0.014085101840529454
601398,工商银行,2018-09-30,422,减持,1241973952,7166189703.04,-998118901,-44.5570325204729,0.13636363636363633,0.15508264014738615,0.0,0.07475695807898705,-0.056751467710371824,-0.022737491209887405
601288,农业银行,2018-09-30,420,减持,2367464341,9209436286.49,-428265752,-15.318565732518302,0.1314102564102563,0.15012926019400613,0.008670520231213945,0.083427478310201,-0.06571428571428571,-0.03170030921380129
600887,伊利股份,2018-09-30,406,减持,767611540,19712264347.2,-198322198,-20.5316565927838,-0.0795625942684766,-0.060843590484726776,-0.14556163230963404,-0.07080467423064699,0.07354392892398808,0.1075579054244725
333,美的集团,2018-09-30,343,减持,333613951,13910655868.27,-152184418,-31.3266630172651,-0.2235987002437044,-0.20487969645995457,-0.09861365419827352,-0.023856696119286466,0.027630805408583117,0.06164478190906754
601166,兴业银行,2018-09-30,335,增持,535174129,8536027357.55,35125127,7.024336986877941,0.1087613293051359,0.12748033308888573,0.022884882108183083,0.09764184018717013,-0.07407407407407406,-0.04006009757358964
661,长春高新,2018-09-30,311,减持,45549758,10795292646.0,-6831072,-13.041167923456,0.02599547904712232,0.04471448283087214,-0.2710832898626325,-0.19632633178364547,0.038617401668653094,0.0726313781691375
600276,恒瑞医药,2018-09-30,308,减持,147680952,9377740452.0,-50694344,-25.554766658041896,-0.15328185328185326,-0.13456284949810343,-0.05838393274170948,0.016373025337277573,-0.10447394296951819,-0.07045996646903377
