股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%,过去一季收益率,相对沪深300指数的收益率1,未来一个月,相对沪深300指数的收益率2,两到三月,相对沪深300指数的收益率3
601318,中国平安,2016-03-31,172,减持,423283169,13464637605.89,-104303682,-19.769954805033603,-0.11246867167919809,0.023813958371313712,0.006349206349206339,0.02406104359447423,0.000701508242721837,0.002568703209523772
600519,贵州茅台,2016-03-31,172,减持,31304118,7752151781.52,-2026314,-6.07947115716952,0.13596512952597958,0.2722477595764914,0.0090652786814139,0.026777115926681794,0.16510084468195152,0.16696803964875345
601166,兴业银行,2016-03-31,169,减持,681973331,10591045830.43,-328242258,-32.492297839604994,-0.08888888888888878,0.047393741161623024,0.0353218210361067,0.05303365828137459,-0.017437452615617792,-0.015570257648815857
2792,通宇通讯,2016-03-31,161,新进,4021962,176805449.52,4021962,2.21546587,,,0.661160924964606,0.6788727622098739,0.12546335899629307,0.127330553963095
858,五粮液,2016-03-31,158,增持,204527338,5749263471.18,7539067,3.82716542549886,0.026421136909527628,0.16270376696003944,0.014487079091621027,0.03219891633688892,0.13417431192660556,0.1360415068934075
2791,坚朗五金,2016-03-31,157,新进,4459114,167618095.26,4459114,1.85384312,,,0.19136262099776621,0.2090744582430341,0.09981167608286251,0.10167887104966444
600030,中信证券,2016-03-31,147,减持,505920629,9005387196.2,-31691767,-5.8949100198947,-0.0771889400921659,0.05909368995834591,-0.0715630885122411,-0.053851251266973196,-0.008152173913043546,-0.00628497894624161
2,万科A,2016-03-31,146,减持,253643222,5200374474.46,-61280342,-19.4587985800897,0.0,0.1362826300505118,0.0,0.017711837245267894,0.0,0.0018671949668019351
600036,招商银行,2016-03-31,142,减持,488746368,7863929061.12,-95591896,-16.3589998959918,-0.10177281680892979,0.03450981324158202,0.09665697674418605,0.11436881398945395,-0.01587301587301577,-0.014005820906213837
600016,民生银行,2016-03-31,142,减持,1072782113,9773045049.43,-387438076,-26.5328529846809,-0.02945736434108533,0.10682526570942648,0.01751592356687889,0.035227760812146784,-0.023474178403755788,-0.02160698343695385
300017,网宿科技,2016-03-31,135,减持,92723666,5406303322.2,-11795887,-11.285818453509801,-0.01996927803379419,0.11631335201671761,0.09048361934477371,0.10819545659004161,0.05393794749403337,0.0558051424608353
600000,浦发银行,2016-03-31,126,减持,418800095,7509085703.35,-90637321,-17.7916497990403,-0.018817204301075346,0.11746542574943646,-0.008196721311475396,0.009515115933792498,-0.018248175182481848,-0.01638098021567991
